Category,Subcategory,German,English,Function/Context,Priority
Speaking - Conversation Management,Buying Time,Also...,So...,Start of hesitation,HIGH
Speaking - Conversation Management,Buying Time,Nun...,Well...,Start of hesitation,HIGH
Speaking - Conversation Management,Buying Time,"Ja, also...","Yes, well...",Start of hesitation,HIGH
Speaking - Conversation Management,Buying Time,Das ist eine gute Frage...,That's a good question...,Buying thinking time,HIGH
Speaking - Conversation Management,Buying Time,Lass mich mal überlegen...,Let me think...,Buying thinking time,HIGH
Speaking - Conversation Management,Buying Time,Wie soll ich das sagen...,How should I put this...,Buying thinking time,MEDIUM
Speaking - Conversation Management,Buying Time,Moment mal...,Just a moment...,Buying thinking time,MEDIUM
Speaking - Conversation Management,Buying Time,Ich meine...,I mean...,Clarification,HIGH
Speaking - Conversation Management,Self-Correction,Oder besser gesagt...,Or better said...,Correcting without stopping,HIGH
Speaking - Conversation Management,Self-Correction,Ich wollte sagen...,I meant to say...,Correcting without stopping,HIGH
Speaking - Conversation Management,Self-Correction,Anders formuliert...,Put differently...,Rephrasing,MEDIUM
Speaking - Conversation Management,Self-Correction,Genauer gesagt...,More precisely...,Clarification,MEDIUM
Speaking - Conversation Management,Self-Correction,Eigentlich...,Actually...,Correction starter,HIGH
Speaking - Conversation Management,Self-Correction,Beziehungsweise...,Or rather...,Refinement,MEDIUM
Speaking - Opinion,Opinion Starters,Meiner Ansicht nach...,In my view...,Formal opinion,HIGH
Speaking - Opinion,Opinion Starters,"Ich bin der Meinung, dass...",I'm of the opinion that...,Formal opinion,HIGH
Speaking - Opinion,Opinion Starters,Aus meiner Sicht...,From my perspective...,Personal view,MEDIUM
Speaking - Opinion,Opinion Starters,Ich würde sagen...,I would say...,Softer opinion,HIGH
Speaking - Opinion,Opinion Starters,"Mir scheint, dass...",It seems to me that...,Tentative opinion,MEDIUM
Speaking - Opinion,Opinion Starters,"Ich finde es wichtig, dass...",I find it important that...,Value statement,MEDIUM
Speaking - Opinion,Opinion Starters,Was mich betrifft...,As far as I'm concerned...,Personal stance,MEDIUM
Speaking - Opinion,Agreement,Da stimme ich zu,I agree with that,Simple agreement,HIGH
Speaking - Opinion,Agreement,Das sehe ich genauso,I see it the same way,Full agreement,HIGH
Speaking - Opinion,Disagreement,Da bin ich anderer Meinung,I have a different opinion,Polite disagreement,HIGH
Speaking - Opinion,Disagreement,Das sehe ich anders,I see it differently,Polite disagreement,HIGH
Speaking - Opinion,Partial Agreement,Einerseits... andererseits...,On one hand... on the other hand...,Balanced view,HIGH
Speaking - Opinion,Partial Agreement,"Zum Teil stimmt das, aber...","That's partly true, but...",Qualified agreement,MEDIUM
Speaking - B1 Test,Personal Introduction,Ich komme ursprünglich aus...,I originally come from...,Origin statement,HIGH
Speaking - B1 Test,Personal Introduction,Seit X Jahren wohne ich in...,I've been living in... for X years,Residence duration,HIGH
Speaking - B1 Test,Personal Introduction,Beruflich bin ich...,"Professionally, I am...",Job description,HIGH
Speaking - B1 Test,Personal Introduction,In meiner Freizeit beschäftige ich mich mit...,In my free time I occupy myself with...,Hobbies,HIGH
Speaking - B1 Test,Personal Introduction,Ich interessiere mich besonders für...,I'm particularly interested in...,Interests,HIGH
Speaking - B1 Test,Personal Introduction,"Meine Muttersprache ist..., aber...","My native language is..., but...",Language background,MEDIUM
Speaking - B1 Test,Language Learning,Ich lerne seit X Jahren Deutsch,I've been learning German for X years,Learning duration,HIGH
Speaking - B1 Test,Language Learning,"Am Anfang war es schwierig, aber...","At first it was difficult, but...",Learning journey,MEDIUM
Speaking - B1 Test,Language Learning,Besonders gut kann ich...,I'm particularly good at...,Strengths,MEDIUM
Speaking - B1 Test,Language Learning,Ich muss noch an... arbeiten,I still need to work on...,Areas for improvement,MEDIUM
Speaking - B1 Test,Language Learning,"Der Grund, warum ich Deutsch lerne, ist...",The reason I'm learning German is...,Motivation,HIGH
Speaking - B1 Test,Topic Presentation,Ich möchte über... sprechen,I'd like to talk about...,Topic introduction,HIGH
Speaking - B1 Test,Topic Presentation,Mein Thema heute ist...,My topic today is...,Topic statement,HIGH
Speaking - B1 Test,Topic Presentation,"Ich habe dieses Thema gewählt, weil...",I chose this topic because...,Topic justification,MEDIUM
Speaking - B1 Test,Topic Structure,Erstens/Zweitens/Drittens...,Firstly/Secondly/Thirdly...,Enumeration,HIGH
Speaking - B1 Test,Topic Structure,Der wichtigste Punkt ist...,The most important point is...,Emphasis,HIGH
Speaking - B1 Test,Topic Structure,Ein gutes Beispiel dafür ist...,A good example of this is...,Exemplification,HIGH
Speaking - B1 Test,Topic Structure,Aus eigener Erfahrung kann ich sagen...,From personal experience I can say...,Personal evidence,MEDIUM
Speaking - B1 Test,Topic Structure,In meinem Heimatland...,In my home country...,Cultural comparison,MEDIUM
Speaking - B1 Test,Topic Conclusion,Zusammenfassend kann man sagen...,"In summary, one can say...",Summary starter,HIGH
Speaking - B1 Test,Topic Conclusion,Abschließend möchte ich betonen...,"In conclusion, I'd like to emphasize...",Final emphasis,MEDIUM
Speaking - B1 Test,Topic Conclusion,Das war alles was ich dazu sagen wollte,That's all I wanted to say about that,Ending statement,MEDIUM
Speaking - B1 Test,Planning Together,Wie wäre es mit...?,How about...?,Suggestion starter,HIGH
Speaking - B1 Test,Planning Together,Wir könnten...,We could...,Possibility,HIGH
Speaking - B1 Test,Planning Together,Ich schlage vor dass...,I suggest that...,Formal suggestion,HIGH
Speaking - B1 Test,Planning Together,Was hältst du davon wenn...?,What do you think about...?,Seeking opinion,HIGH
Speaking - B1 Test,Planning Together,Vielleicht sollten wir...,Perhaps we should...,Tentative suggestion,MEDIUM
Speaking - B1 Test,Responding to Suggestions,Das ist eine gute Idee,That's a good idea,Positive response,HIGH
Speaking - B1 Test,Responding to Suggestions,Das gefällt mir,I like that,Approval,HIGH
Speaking - B1 Test,Responding to Suggestions,Ich bin nicht sicher ob...,I'm not sure if...,Hesitation,MEDIUM
Speaking - B1 Test,Responding to Suggestions,Das könnte funktionieren,That could work,Tentative agreement,MEDIUM
