word,english,type,example
und,and,coordinating,"Ich lese ein Buch und sie schaut fern."
oder,or,coordinating,"Möchtest du Tee oder Kaffee?"
aber,but,coordinating,"Ich möchte kommen, aber ich bin krank."
denn,for,coordinating,"Ich bleibe zu Hause, denn ich bin müde."
sondern,but rather,coordinating,"Das ist nicht mein Buch, sondern sein Buch."
weil,because,subordinating,"Ich bleibe zu Hause, weil ich krank bin."
dass,that,subordinating,"Ich weiß, dass du Recht hast."
wenn,if/when,subordinating,"Wenn es regnet, bleibe ich zu Hause."
obwohl,although,subordinating,"Ich gehe spazieren, obwohl es regnet."
entweder,either,correlative,"Entweder kommst du mit oder du bleibst hier."
sowohl,both,correlative,"Sowohl mein Bruder als auch meine Schwester sind hier."
deshalb,therefore,adverbial,"Es regnet, deshalb bleibe ich zu Hause."
trotzdem,nevertheless,adverbial,"Es regnet, trotzdem gehe ich spazieren."
daher,therefore,adverbial,"Ich bin müde, daher gehe ich früh ins Bett." 
