article,type,gender,case,english,example,related_noun
ein,indefinite,masculine,nominative,a/an,Ein Mann kommt.,Mann
eine,indefinite,feminine,nominative,a/an,Eine Frau liest.,Frau
ein,indefinite,neuter,nominative,a/an,Ein Kind spielt.,Kind
einen,indefinite,masculine,accusative,a/an,Ich sehe einen Mann.,Mann
eine,indefinite,feminine,accusative,a/an,Ich sehe eine Frau.,Frau
ein,indefinite,neuter,accusative,a/an,Ich sehe ein Kind.,Kind
einem,indefinite,masculine,dative,a/an,Ich gebe einem Mann das Buch.,Mann
einer,indefinite,feminine,dative,a/an,Ich gebe einer Frau das Buch.,Frau
einem,indefinite,neuter,dative,a/an,Ich gebe einem Kind das Buch.,Kind
eines,indefinite,masculine,genitive,a/an,Das Auto eines Mannes ist rot.,Mann
einer,indefinite,feminine,genitive,a/an,Das Auto einer Frau ist rot.,Frau
eines,indefinite,neuter,genitive,a/an,Das Spielzeug eines Kindes ist neu.,Kind
