phrase,english,context,related
Guten Morgen!,Good morning!,am Morgen (6-10 Uhr),Guten Tag! Guten Abend!
Guten Tag!,Good day!/Hello!,formelle Begrüßung (10-18 Uhr),Guten Morgen! Guten Abend!
Guten Abend!,Good evening!,am Abend (ab 18 Uhr),Guten Morgen! Guten Tag!
Gute Nacht!,Good night!,vor dem Schlafen,Schlaf gut!
Hallo!,Hello!,informelle Begrüßung,Guten Tag! Hi!
Auf Wiedersehen!,Goodbye!,formeller Abschied,Tschüss! Bis bald!
Tschüss!,Bye!,informeller Abschied,Auf Wiedersehen! Bis später!
Bis bald!,See you soon!,man sieht sich bald wieder,Bis später! Bis morgen!
Bis später!,See you later!,man sieht sich heute noch,Bis bald! Tschüss!
Bis morgen!,See you tomorrow!,man sieht sich morgen,Bis bald! Bis später!
Wie geht es Ihnen?,How are you? (formal),höfliche Frage nach dem Befinden,Wie geht's? Wie geht es dir?
Wie geht es dir?,How are you? (informal),Frage nach dem Befinden (du-Form),Wie geht's? Wie geht es Ihnen?
Wie geht's?,How's it going? (very informal),sehr informelle Frage,Wie geht es dir?
Mir geht es gut.,I'm doing well.,Antwort auf die Frage nach dem Befinden,Danke gut.
Danke gut.,Fine thanks.,kurze Antwort auf die Frage,Mir geht es gut.
Es geht.,I'm okay.,neutrale Antwort,Mir geht es gut.
Nicht so gut.,Not so good.,negative Antwort,Es geht.
Wie heißen Sie?,What is your name? (formal),nach dem Namen fragen (Sie-Form),Wie heißt du? Wie ist Ihr Name?
Wie heißt du?,What is your name? (informal),nach dem Namen fragen (du-Form),Wie heißen Sie? Wie ist dein Name?
Ich heiße...,My name is...,den Namen nennen,Mein Name ist...
Mein Name ist...,My name is...,den Namen nennen (formell),Ich heiße...
Freut mich!,Nice to meet you!,beim Kennenlernen,Schön Sie kennenzulernen!
Schön dich/Sie kennenzulernen!,Nice to meet you!,beim ersten Treffen,Freut mich!
Woher kommen Sie?,Where are you from? (formal),nach der Herkunft fragen (Sie-Form),Woher kommst du?
Woher kommst du?,Where are you from? (informal),nach der Herkunft fragen (du-Form),Woher kommen Sie?
Ich komme aus...,I come from...,die Herkunft nennen,Ich bin aus...
Wo wohnen Sie?,Where do you live? (formal),nach dem Wohnort fragen (Sie-Form),Wo wohnst du?
Wo wohnst du?,Where do you live? (informal),nach dem Wohnort fragen (du-Form),Wo wohnen Sie?
Ich wohne in...,I live in...,den Wohnort nennen,Meine Adresse ist...
Was sind Sie von Beruf?,What is your profession? (formal),nach dem Beruf fragen (Sie-Form),Was machst du beruflich?
Was machst du beruflich?,What do you do for a living? (informal),nach dem Beruf fragen (du-Form),Was sind Sie von Beruf?
Ich bin...,I am...,den Beruf nennen,Ich arbeite als...
Ich arbeite als...,I work as...,die Arbeit beschreiben,Ich bin...
Sprechen Sie Deutsch?,Do you speak German? (formal),nach Sprachkenntnissen fragen (Sie-Form),Sprichst du Deutsch?
Sprichst du Deutsch?,Do you speak German? (informal),nach Sprachkenntnissen fragen (du-Form),Sprechen Sie Deutsch?
Ich spreche ein bisschen Deutsch.,I speak a little German.,wenig Deutsch sprechen,Ich lerne Deutsch.
Ich verstehe nicht.,I don't understand.,wenn man etwas nicht versteht,Was bedeutet das?
Können Sie bitte langsamer sprechen?,Could you please speak slower? (formal),um langsameres Sprechen bitten (Sie-Form),Kannst du bitte langsamer sprechen?
Kannst du bitte langsamer sprechen?,Could you please speak slower? (informal),um langsameres Sprechen bitten (du-Form),Können Sie bitte langsamer sprechen?
Wie bitte?,Pardon? / Come again?,wenn man nicht gehört hat,Entschuldigung?
Entschuldigung?,Excuse me?,wenn man nicht verstanden hat,Wie bitte?
Können Sie das bitte wiederholen?,Could you please repeat that? (formal),um Wiederholung bitten (Sie-Form),Kannst du das bitte wiederholen?
Kannst du das bitte wiederholen?,Could you please repeat that? (informal),um Wiederholung bitten (du-Form),Können Sie das bitte wiederholen?
Was bedeutet...?,What does ... mean?,nach der Bedeutung fragen,Wie sagt man...?
Wie sagt man ... auf Deutsch?,How do you say ... in German?,nach einem deutschen Wort fragen,Was bedeutet...?
Wie spricht man das aus?,How do you pronounce that?,nach der Aussprache fragen,Wie sagt man das?
Entschuldigung!,Excuse me!/I'm sorry!,sich entschuldigen oder Aufmerksamkeit bekommen,Verzeihung!
Verzeihung!,Excuse me!/Pardon me!,sich entschuldigen,Entschuldigung!
Es tut mir leid.,I'm sorry.,sich für etwas entschuldigen,Entschuldigung!
Kein Problem!,No problem!,auf eine Entschuldigung antworten,Das macht nichts.
Das macht nichts.,That's nothing./It doesn't matter.,auf eine Entschuldigung antworten,Kein Problem!
Bitte!,Please!/You're welcome!,um etwas bitten oder auf Danke antworten,Bitte schön!
Bitte schön!,Here you are!/You're welcome!,etwas geben oder auf Danke antworten,Bitte!
