word,english,type,example
hier,here,location,Ich wohne hier.
dort,there,location,Das Buch liegt dort.
heute,today,time,Heute ist Montag.
morgen,tomorrow,time,Morgen gehe ich zur Schule.
gestern,yesterday,time,Gestern war Sonntag.
jetzt,now,time,Ich esse jetzt.
immer,always,frequency,Er kommt immer pünktlich.
oft,often,frequency,Wir gehen oft ins Kino.
manchmal,sometimes,frequency,Manchmal trinke ich Tee.
nie,never,frequency,Sie raucht nie.
sehr,very,degree,Das ist sehr gut.
gern,gladly/like to,manner,Ich spiele gern Fußball.
schnell,quickly,manner,Er läuft schnell.
langsam,slowly,manner,Bitte sprechen Sie langsam.
vielleicht,maybe,manner,Vielleicht kommt er morgen.
