word,english,type,example
nicht,not,general,Ich verstehe das nicht.
kein,no/not a,article,Ich habe kein Geld.
keine,no/not a (feminine/plural),article,Ich habe keine Zeit.
keinen,no/not a (masculine accusative),article,Ich sehe keinen Mann.
keiner,no/none (masculine nominative/genitive feminine),article,Keiner weiß das.
keinem,no/not a (masculine/neuter dative),article,Ich gebe keinem Kind Süßigkeiten.
keines,no/not a (neuter genitive),article,Das ist das Problem keines Kindes.
nie,never,adverb,Ich rauche nie.
niemals,never,adverb,Das werde ich niemals vergessen.
nichts,nothing,pronoun,Ich weiß nichts.
niemand,nobody,pronoun,Niemand ist zu Hause.
nirgends,nowhere,adverb,Ich finde es nirgends.
nirgendwo,nowhere,adverb,Das gibt es nirgendwo.
noch nicht,not yet,compound,Das Essen ist noch nicht fertig.
nicht mehr,no longer/not anymore,compound,Ich wohne nicht mehr dort.
gar nicht,not at all,compound,Das gefällt mir gar nicht.
überhaupt nicht,not at all,compound,Ich verstehe überhaupt nichts.
auf keinen Fall,in no case/no way,phrase,Auf keinen Fall gehe ich mit.
keinesfalls,by no means,adverb,Das ist keinesfalls richtig.
keineswegs,by no means,adverb,Ich bin keineswegs müde.
weder...noch,neither...nor,conjunction,Ich spreche weder Französisch noch Spanisch.
