noun,article,english,plural,example,related
Mann,der,man,Männer,Der Mann arbeitet im Büro.,"die Frau, der Herr"
Frau,die,woman/wife,Frauen,Die Frau kauft Brot.,"der Mann, die Dame"
Kind,das,child,Kinder,Das Kind spielt im Garten.,"der Junge, das Mädchen"
Junge,der,boy,Jungen,Der Junge geht zur Schule.,"das Mädchen, das Kind"
Mädchen,das,girl,Mädchen,Das Mädchen liest ein Buch.,"der Junge, das Kind"
Baby,das,baby,Babys,Das Baby schläft.,"das Kind, das Kleinkind"
Familie,die,family,Familien,Die Familie isst zusammen.,"die Eltern, die Kinder"
Vater,der,father,Väter,Mein Vater heißt Thomas.,"die Mutter, die Eltern"
Mutter,die,mother,Mütter,Meine Mutter kocht gern.,"der Vater, die Eltern"
Eltern,die,parents,Eltern (plural only),Die Eltern sind zu Hause.,"der Vater, die Mutter"
Sohn,der,son,Söhne,Ihr Sohn ist zehn Jahre alt.,"die Tochter, das Kind"
Tochter,die,daughter,Töchter,Seine Tochter studiert Medizin.,"der Sohn, das Kind"
Bruder,der,brother,Brüder,Mein Bruder wohnt in Berlin.,"die Schwester, die Geschwister"
Schwester,die,sister,Schwestern,Ihre Schwester ist Lehrerin.,"der Bruder, die Geschwister"
Großvater,der,grandfather,Großväter,Der Großvater erzählt Geschichten.,"die Großmutter, die Großeltern"
Großmutter,die,grandmother,Großmütter,Die Großmutter backt Kuchen.,"der Großvater, die Großeltern"
Opa,der,grandpa,Opas,Der Opa spielt mit den Kindern.,"die Oma, der Großvater"
Oma,die,grandma,Omas,Die Oma strickt einen Pullover.,"der Opa, die Großmutter"
Onkel,der,uncle,Onkel,Mein Onkel kommt zu Besuch.,"die Tante, der Verwandte"
Tante,die,aunt,Tanten,Die Tante wohnt in Hamburg.,"der Onkel, die Verwandte"
Freund,der,friend (male)/boyfriend,Freunde,Mein Freund heißt Peter.,"die Freundin, der Kollege"
Freundin,die,friend (female)/girlfriend,Freundinnen,Seine Freundin studiert Kunst.,"der Freund, die Kollegin"
Herr,der,Mr./gentleman,Herren,Herr Schmidt ist mein Lehrer.,"die Frau, die Dame"
Dame,die,lady,Damen,Die Dame trägt einen Hut.,"der Herr, die Frau"
Person,die,person,Personen,Diese Person kenne ich nicht.,"der Mensch, die Leute"
Mensch,der,human/person,Menschen,Der Mensch braucht Wasser.,"die Person, die Leute"
Leute,die,people,Leute (plural only),Die Leute warten auf den Bus.,"die Menschen, die Personen"
Name,der,name,Namen,Mein Name ist Anna.,"der Vorname, der Nachname"
Vorname,der,first name,Vornamen,Sein Vorname ist Michael.,"der Nachname, der Name"
Nachname,der,last name,Nachnamen,Ihr Nachname ist Müller.,"der Vorname, der Familienname"
Adresse,die,address,Adressen,Die Adresse steht auf dem Brief.,"die Straße, die Hausnummer"
Telefonnummer,die,phone number,Telefonnummern,Meine Telefonnummer ist 030-123456.,"das Telefon, die Nummer"
Geburtstag,der,birthday,Geburtstage,Sein Geburtstag ist im Mai.,"das Geburtsdatum, die Party"
Alter,das,age,Alter,Das Alter ist nur eine Zahl.,"das Jahr, der Geburtstag"
Haus,das,house,Häuser,Das Haus hat einen Garten.,"die Wohnung, das Gebäude"
Wohnung,die,apartment,Wohnungen,Die Wohnung hat drei Zimmer.,"das Haus, das Zimmer"
Zimmer,das,room,Zimmer,Das Zimmer ist sehr hell.,"das Schlafzimmer, das Wohnzimmer"
Küche,die,kitchen,Küchen,Die Küche ist modern.,"das Esszimmer, der Herd"
Bad,das,bathroom,Bäder,Das Bad hat eine Dusche.,"die Toilette, das WC"
