preposition,english,case,example1,example2
an,at/on/to,Accusative/Dative,Ich gehe an den Strand. (Accusative - movement),Ich bin am Strand. (Dative - location)
auf,on/onto,Accusative/Dative,Ich lege das Buch auf den Tisch. (Accusative - movement),Das Buch liegt auf dem Tisch. (Dative - location)
hinter,behind,Accusative/Dative,Die Katze läuft hinter das Haus. (Accusative - movement),Die Katze sitzt hinter dem Haus. (Dative - location)
in,in/into,Accusative/Dative,Ich gehe in die Schule. (Accusative - movement),Ich bin in der Schule. (Dative - location)
neben,next to/beside,Accusative/Dative,Ich stelle den Stuhl neben den Tisch. (Accusative - movement),Der Stuhl steht neben dem Tisch. (Dative - location)
über,over/above/about,Accusative/Dative,Der Vogel fliegt über das Haus. (Accusative - movement),Die Lampe hängt über dem Tisch. (Dative - location)
unter,under/below/among,Accusative/Dative,Die Katze kriecht unter das Bett. (Accusative - movement),Die Katze schläft unter dem Bett. (Dative - location)
vor,in front of/before/ago,Accusative/Dative,Ich stelle das Auto vor das Haus. (Accusative - movement),Das Auto steht vor dem Haus. (Dative - location)
zwischen,between,Accusative/Dative,Ich setze mich zwischen die Stühle. (Accusative - movement),Ich sitze zwischen den Stühlen. (Dative - location)
aus,from/out of,Dative,Ich komme aus Deutschland. (Dative),Er trinkt aus der Flasche. (Dative)
bei,at/by/with,Dative,Ich wohne bei meinen Eltern. (Dative),Sie arbeitet bei Siemens. (Dative)
mit,with,Dative,Ich fahre mit dem Bus. (Dative),Sie spricht mit ihrer Freundin. (Dative)
nach,to/after,Dative,Ich fahre nach Berlin. (Dative),Nach dem Essen gehe ich spazieren. (Dative)
seit,since/for,Dative,Ich wohne seit einem Jahr hier. (Dative),Seit gestern bin ich krank. (Dative)
von,from/of/by,Dative,Das Geschenk ist von meinem Bruder. (Dative),Ich komme von der Arbeit. (Dative)
zu,to/at,Dative,Ich gehe zu meinem Freund. (Dative),Wir fahren zum Bahnhof. (Dative)
durch,through,Accusative,Wir gehen durch den Park. (Accusative),Der Bus fährt durch die Stadt. (Accusative)
für,for,Accusative,Das Geschenk ist für dich. (Accusative),Ich arbeite für eine große Firma. (Accusative)
gegen,against/around,Accusative,Er ist gegen die Idee. (Accusative),Wir kommen gegen drei Uhr. (Accusative)
ohne,without,Accusative,Ich gehe ohne meinen Bruder. (Accusative),Sie trinkt Kaffee ohne Zucker. (Accusative)
um,around/at,Accusative,Wir gehen um das Haus. (Accusative),Der Film beginnt um acht Uhr. (Accusative)
bis,until/to,Accusative,Ich arbeite bis sechs Uhr. (Accusative),Der Bus fährt bis zum Hauptbahnhof. (Accusative)
entlang,along,Accusative,Wir gehen die Straße entlang. (Accusative - after noun),Entlang der Straße stehen Bäume. (Genitive - before noun)
gegenüber,opposite/across from,Dative,Das Café ist gegenüber dem Bahnhof. (Dative),Die Bank liegt der Post gegenüber. (Dative - after noun)
ab,from (time/place),Dative,Ab morgen habe ich Urlaub. (Dative),Der Zug fährt ab München. (Dative)
