verb,english,classification,present_ich,present_du,present_er,präteritum,auxiliary,perfect,example,separable
sein,to be,unregelmäßig,bin,bist,ist,war,sein,ist gewesen,Ich bin Student.,false
haben,to have,unregelmäßig,habe,hast,hat,hatte,haben,hat gehabt,Ich habe ein Auto.,false
werden,to become,unregelmäßig,werde,wirst,wird,wurde,sein,ist geworden,Er wird Arzt.,false
können,can/to be able,unregelmäßig,kann,kannst,kann,konnte,haben,hat gekonnt,Ich kann schwimmen.,false
müssen,must/to have to,unregelmäßig,muss,musst,muss,musste,haben,hat gemusst,Ich muss arbeiten.,false
wollen,to want,unregelmäßig,will,willst,will,wollte,haben,hat gewollt,Ich will schlafen.,false
sollen,should/ought to,unregelmäßig,soll,sollst,soll,sollte,haben,hat gesollt,Du sollst kommen.,false
dürfen,may/to be allowed,unregelmäßig,darf,darfst,darf,durfte,haben,hat gedurft,Ich darf spielen.,false
mögen,to like,unregelmäßig,mag,magst,mag,mochte,haben,hat gemocht,Ich mag Pizza.,false
möchten,would like,unregelmäßig,möchte,möchtest,möchte,wollte,haben,hat gewollt,Ich möchte Kaffee.,false
machen,to make/do,regelmäßig,mache,machst,macht,machte,haben,hat gemacht,Ich mache Sport.,false
gehen,to go,unregelmäßig,gehe,gehst,geht,ging,sein,ist gegangen,Ich gehe nach Hause.,false
kommen,to come,unregelmäßig,komme,kommst,kommt,kam,sein,ist gekommen,Er kommt aus Berlin.,false
fahren,to drive/go,unregelmäßig,fahre,fährst,fährt,fuhr,sein,ist gefahren,Ich fahre Auto.,false
laufen,to run/walk,unregelmäßig,laufe,läufst,läuft,lief,sein,ist gelaufen,Das Kind läuft schnell.,false
sehen,to see,unregelmäßig,sehe,siehst,sieht,sah,haben,hat gesehen,Ich sehe den Bus.,false
geben,to give,unregelmäßig,gebe,gibst,gibt,gab,haben,hat gegeben,Er gibt mir das Buch.,false
nehmen,to take,unregelmäßig,nehme,nimmst,nimmt,nahm,haben,hat genommen,Ich nehme den Bus.,false
finden,to find,unregelmäßig,finde,findest,findet,fand,haben,hat gefunden,Ich finde den Weg.,false
